,x,y
0,-10.0,-29.198798941555335
1,-9.797979797979798,-33.379918215974975
2,-9.595959595959595,-25.661455959552534
3,-9.393939393939394,-24.037193440371606
4,-9.191919191919192,-25.264474462303784
5,-8.98989898989899,-27.002099965151523
6,-8.787878787878787,-31.073204635361826
7,-8.585858585858587,-30.93507777251277
8,-8.383838383838384,-24.74601316243958
9,-8.181818181818182,-24.26796466665809
10,-7.979797979797979,-21.23935978283222
11,-7.777777777777778,-28.750686921080522
12,-7.575757575757576,-13.53810488263047
13,-7.373737373737374,-19.18194646504087
14,-7.171717171717171,-19.066242987115903
15,-6.96969696969697,-19.825172741789583
16,-6.767676767676768,-22.73264457814061
17,-6.565656565656566,-20.711838831092642
18,-6.363636363636363,-16.75803544465165
19,-6.161616161616162,-19.485805793082665
20,-5.959595959595959,-19.648088966072955
21,-5.757575757575758,-18.165355401699657
22,-5.555555555555555,-18.394599766720518
23,-5.353535353535354,-15.576588603507352
24,-5.151515151515151,-12.61860029695419
25,-4.94949494949495,-21.833347632224815
26,-4.747474747474747,-17.82349449802131
27,-4.545454545454546,-14.445019238458032
28,-4.343434343434343,-12.596101542907329
29,-4.141414141414142,-8.759834429060328
30,-3.9393939393939394,-7.775746015909036
31,-3.737373737373738,-6.272914242167196
32,-3.5353535353535355,-6.739911150599275
33,-3.333333333333333,-10.000233263063066
34,-3.1313131313131315,-14.915568723386375
35,-2.929292929292929,-11.409191391602976
36,-2.7272727272727275,-7.335671664039329
37,-2.525252525252525,-4.552089685343175
38,-2.3232323232323235,-3.044544672943183
39,-2.121212121212121,4.452016120608205
40,-1.9191919191919187,-3.7933640281743655
41,-1.717171717171718,-0.9420098810957613
42,-1.5151515151515156,-10.263452840215889
43,-1.3131313131313131,-7.773352412672494
44,-1.1111111111111107,-3.1560751541426457
45,-0.9090909090909101,-2.3034645626811074
46,-0.7070707070707076,0.8268040584216778
47,-0.5050505050505052,1.5529997116239191
48,-0.30303030303030276,-5.414370983396106
49,-0.10101010101010033,2.0745871019901587
50,0.10101010101010033,-0.9407690516552834
51,0.30303030303030276,8.50876795980448
52,0.5050505050505052,-2.803199143588622
53,0.7070707070707076,3.0392557274643472
54,0.9090909090909083,1.9198088293829503
55,1.1111111111111107,7.604329790155049
56,1.3131313131313131,7.073723475095276
57,1.5151515151515156,2.0380190786129644
58,1.7171717171717162,12.10566457760135
59,1.9191919191919187,11.084087892044614
60,2.121212121212121,13.375265570987622
61,2.3232323232323235,15.391184736321097
62,2.525252525252524,10.42016088970717
63,2.7272727272727266,8.692059083134904
64,2.929292929292929,5.674848791287805
65,3.1313131313131315,4.91345213611228
66,3.333333333333334,7.042404683494059
67,3.5353535353535346,10.147365680500474
68,3.737373737373737,3.4668749866710744
69,3.9393939393939394,12.112862772430965
70,4.141414141414142,13.032539260025171
71,4.3434343434343425,16.138085625759814
72,4.545454545454545,12.646004497314085
73,4.747474747474747,20.38843430049529
74,4.94949494949495,19.06379539196662
75,5.1515151515151505,21.015136283080416
76,5.353535353535353,13.754900933230351
77,5.555555555555555,19.00857101608505
78,5.757575757575758,15.764800896561225
79,5.9595959595959584,16.401855708307178
80,6.161616161616163,19.769447557852992
81,6.363636363636363,19.41262331027026
82,6.565656565656564,25.903811652702686
83,6.767676767676768,17.948346147257126
84,6.969696969696969,13.13824858938529
85,7.171717171717173,19.557552489165428
86,7.373737373737374,23.985540336787015
87,7.575757575757574,28.02242445964778
88,7.777777777777779,22.55943148891823
89,7.979797979797979,18.11799104953762
90,8.18181818181818,21.077225557703215
91,8.383838383838384,20.99193517800675
92,8.585858585858585,24.615593589794102
93,8.787878787878789,20.810829738478738
94,8.98989898989899,27.018105073332638
95,9.19191919191919,27.90502095882845
96,9.393939393939394,24.49457488144578
97,9.595959595959595,32.21238908373014
98,9.7979797979798,28.51112927036931
99,10.0,33.593768003499754
